Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
MFAI11,Hibrido,"R$ 102,00",799.0,"R$ 1,00","0,95%","2,18%","5,79%","0,00%","0,73%","0,97%","0,00%","2,18%","-1,33%","-0,39%","-8,76%","R$ 29.080.317,69","R$ 95,92","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
FPAB11,Lajes Corporativas,"R$ 279,98",2836.0,"R$ 1,20","0,44%","1,27%","2,78%","6,44%","0,42%","0,46%","0,54%","1,27%","-1,12%","-0,68%","-7,30%","R$ 336.198.709,36","R$ 448,26","0,62",N/A,N/A,N/A,N/A,"39,76%",N/A,1
TRXF11,Outros,"R$ 105,42",19591.0,"R$ 0,70","0,65%","1,93%","4,01%","7,49%","0,64%","0,67%","0,62%","1,93%","-3,92%","-3,30%","2,81%","R$ 595.926.109,36","R$ 105,63","1,00",N/A,N/A,N/A,N/A,"0,00%",N/A,43
VLOL11,Lajes Corporativas,"R$ 101,96",3230.0,"R$ 0,46","0,45%","1,25%","2,47%","5,13%","0,42%","0,41%","0,43%","1,25%","-2,10%","-1,66%","0,77%","R$ 172.897.655,91","R$ 96,87","1,05",N/A,N/A,N/A,N/A,"4,00%",N/A,1
PATC11,Lajes Corporativas,"R$ 68,12",4438.0,"R$ 0,31","0,45%","1,16%","2,21%","4,04%","0,39%","0,37%","0,34%","1,16%","-20,23%","-19,87%","-17,19%","R$ 301.119.063,31","R$ 86,59","0,79",N/A,N/A,N/A,N/A,"15,20%","10,30%",5
AIEC11,Lajes Corporativas,"R$ 88,03",7738.0,"R$ 0,57","0,63%","1,85%","0,00%","0,00%","0,62%","0,00%","0,00%","1,85%","-3,23%","-2,61%","-1,95%","R$ 483.596.768,76","R$ 100,23","0,88",N/A,N/A,N/A,N/A,"0,00%",N/A,2
PQDP11,Shoppings,"R$ 2.821,00",90.0,"R$ 11,59","0,42%","1,24%","2,05%","4,69%","0,41%","0,34%","0,39%","0,96%","-3,68%","-3,28%","-2,75%","R$ 858.198.969,76","R$ 3.598,67","0,78",N/A,N/A,N/A,N/A,"4,20%",N/A,1
FIIB11,Hibrido,"R$ 498,96",699.0,"R$ 3,10","0,62%","1,72%","3,25%","5,72%","0,57%","0,54%","0,48%","1,18%","-4,40%","-3,81%","-3,26%","R$ 303.120.333,38","R$ 442,51","1,13",N/A,N/A,N/A,N/A,"3,93%",N/A,1
JSRE11,Hibrido,"R$ 93,09",43775.0,"R$ 0,53","0,56%","1,63%","3,29%","6,15%","0,54%","0,55%","0,51%","1,63%","-3,41%","-2,87%","-3,90%","R$ 2.357.857.312,16","R$ 113,54","0,82",N/A,N/A,N/A,N/A,"11,60%","7,80%",5
HABT11,Titulos e Val. Mob.,"R$ 120,01",22525.0,"R$ 1,50","1,25%","3,26%","7,15%","11,88%","1,09%","1,19%","0,99%","3,26%","-2,31%","-1,10%","-0,91%","R$ 547.290.224,41","R$ 101,12","1,19",N/A,N/A,N/A,N/A,N/A,N/A,0
IFID11,Titulos e Val. Mob.,"R$ 96,00",590.0,"R$ 0,69","0,69%","0,69%","0,69%","0,69%","0,23%","0,12%","0,06%","0,69%","-0,50%","0,19%","0,19%","R$ 70.830.123,60","R$ 94,67","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
HGBS11,Shoppings,"R$ 202,67",8086.0,"R$ 0,40","0,20%","0,95%","1,73%","2,62%","0,32%","0,29%","0,22%","0,95%","-3,29%","-3,10%","-5,27%","R$ 2.200.209.177,42","R$ 220,02","0,92",N/A,N/A,N/A,N/A,"7,67%",N/A,17
SDIL11,Logistica,"R$ 99,10",12829.0,"R$ 0,60","0,60%","1,76%","3,52%","6,43%","0,59%","0,59%","0,54%","1,76%","-3,29%","-2,71%","-2,43%","R$ 661.815.225,95","R$ 103,49","0,96",N/A,N/A,N/A,N/A,"13,30%",N/A,3
KNSC11,Titulos e Val. Mob.,"R$ 101,92",33147.0,"R$ 0,91","0,83%","3,09%","0,00%","0,00%","1,03%","0,00%","0,00%","3,09%","2,44%","3,30%","8,60%","R$ 246.933.690,22","R$ 93,79","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
FIGS11,Shoppings,"R$ 58,16",2286.0,"R$ 0,10","0,17%","1,05%","2,29%","0,00%","0,35%","0,38%","0,00%","1,05%","-7,73%","-7,57%","-10,73%","R$ 268.691.469,02","R$ 94,28","0,62",N/A,N/A,N/A,N/A,"12,10%",N/A,2
VIFI11,Titulos e Val. Mob.,"R$ 88,15",9312.0,"R$ 0,60","0,68%","1,97%","3,90%","0,00%","0,66%","0,65%","0,00%","1,97%","-5,27%","-4,62%","-4,15%","R$ 280.597.594,24","R$ 99,77","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
